prompt,chosen,rejected
Genereer een korte en informatieve titel: The interventions that were presented during EAPRIL.,EAPRIL,A.APRIL
Genereer een korte en informatieve titel: In de Opgaveagenda Versterken Innovatie en Impact ecosystemen (2023-2026) van de gemeente Amsterdam wordt het belang van evaluatie en monitoring benadrukt om de effectiviteit van initiatieven te waarborgen en bij te sturen waar nodig. Monitoring is ook een onderdeel binnen de doelstelling ondersteunen onderzoek & kennisopbouw in deze agenda. Daarnaast is het monitoren van effecten ook van belang voor de ‘Agenda voor Amsterdams Ondernemerschap’. fOp basis van deze uitgangssituatie heeft de gemeente Amsterdam de HvA gevraagd een sjabloon te ontwikkelen voor de evaluatie van ondernemersprogramma’s.,Versterken Innovatie en Impact ecosystemen 2023-2026,Onderdeel in de effectiviteit ondersteunen onderzoek & kennisopbouw
"Genereer een korte en informatieve titel: Onze wereld verandert, verander je mee?","Verander een korte en informatieve: Onze werld verandert, verander je mee?",Avraat der binnen heid verandert
"Genereer een korte en informatieve titel: This paper is a call to action from researchers in the Polar Science Early Career community. This call comes from experiences held and events witnessed by early-career researchers where imbalanced power dynamics and extractive research in and with Indigenous communities persist largely unchecked. As objectives for the Fifth International Polar Year are established, current leaders in science policy and research have an opportunity to cultivate a space for Indigenous leadership in science by acknowledging the colonial past of research and by actively dismantling neo-colonial practices in the present. To do this, we present a series of priorities that support the mission to foster equitable, sustainable, and relationship-centered engagement with Indigenous Peoples and local communities. We must reimagine science through relational, land-based, and cyclical processes, increase implementation of trauma-informed practices, and make structural and systemic changes to allow for research processes that reflect Indigenous ways of knowing, being, and doing. Ultimately, we challenge those who traditionally hold power in polar science and policy to ask, “How can we make space for community priorities, values, and knowledge systems?” instead of “How can we build research capacity for polar communities?”.",Indigenous leadership in science by acknowledging the colonial past of research and dismantling neo-colonial practices,The Fifth International Polar Year: A Change in Energy
"Genereer een korte en informatieve titel: Vanwege democratische erosie is het versterken van een democratische cultuur nog belangrijk. Dat geldt zeker ook voor Nederland. Binnen een dergelijke cultuur zijn onder meer begrip van democratie, kennis over verschillende democratiemodellen en het leren omgaan met democratische dilemma’s van groot belang. Over de inhouden omtrent democratie die leerlingen en studenten in Nederland op school leren, is niet veel bekend. Lesmethoden geven mede richting aan de inhoudelijke invulling van onderwijs over democratie. Met dit artikel geven we een beschrijving van een studie naar vijfentwintig lesmethoden maatschappijleer van het voortgezet onderwijs (vmbo en vwo) en burgerschap in het mbo. Het doel van de studie is meer inzicht krijgen in de inhoud van het onderwijs in Nederland over democratie en een indicatie krijgen van wat Nederlandse leerlingen en studenten daarover leren. De resultaten van de studie laten zien dat veel aspecten van democratie terugkomen in de lesmethoden en daarbij bestaan veel overeenkomsten tussen de lesmethoden van de verschillende onderwijstypen. Verschillende aspecten van democratie worden geschetst, de rechtsstaat komt aan bod, er komen vernieuwingen van democratie naar voren en verschillen tussen democratie en dictatuur worden beschreven. Tegelijkertijd laten de resultaten zien dat de lesmethoden ook aanzienlijke beperkingen kennen. Zo komt zeer beperkt naar voren dat er verschillende democratiemodellen bestaan en dat democratie veranderlijk is. Democratie wordt vooral gekoppeld aan de Nederlandse nationale context en democratische dilemma’s komen maar zeer beperkt aan bod. Deze studie laat zien dat het belangrijk is dat er met een kritische blik naar lesmethoden wordt gekeken.",Vanwege democratische erosie is het versterken van een democratische cultuur nog be,Het versterken van democratische een cultuur op school leren
"Genereer een korte en informatieve titel: Een van de meest veelbelovende scenario’s voor de energietransitie is de overgang naar duurzame, lokaal opgewekte en gedeelde energie. Landelijk sloegen ruim 700 burger-energiecollectieven deze weg al in. Maar het is een lastig traject, waarbij de wensen en capaciteit van lokale gemeenschappen afgestemd moeten worden op bestaande en nieuwe institutionele prakijken, wetten en regelgeving. Wie legt de verbindingen? Het onderzoeksproject Transition-Scapes verkende de afgelopen tijd samen met Huis van de Toekomst in Rotterdam hoe ‘urban curators’ een rol kunnen spelen als verbinders, aanjagers en facilitators in een andere manier van denken en samenwerken rond de energietransitie. Het gaat hier namelijk om een technische opgave, maar evenzeer om een complex sociaalmaatschappelijk verandervraagstuk. De Rijksoverheid streeft naar een CO2-neutrale economie in 2050 en stimuleert hiertoe het gebruik van hernieuwbare energiebronnen die onze aarde en leefomgeving niet beschadigen of vervuilen. Volgens dat scenario worden elektriciteit en warmte zoveel mogelijk in de buurt opgewekt, opgeslagen en verspreid. Hiervoor zijn nieuwe, grotendeels lokaal georganiseerde energiesystemen nodig: in bestaande buurten en in nieuwbouwwijken. De gemeentes en marktpartijen zijn hierin leidend, maar er gaan steeds meer stemmen op – onder andere bij het Nationaal Programma Regionale Energiestrategie en bij netbeheerder Alliander – om het eigenaarschap van deze lokale systemen in energiegemeenschappen onder te brengen.",Energietransitie: afgestemd moeten op bestaande en nieuwe institutionele prak,Energietransitie and burger - plk-energiecollectie
"Genereer een korte en informatieve titel: Dat steeds meer distributiecentra worden uitgerust met zonnepanelen is een goede ontwikkeling, maar het maakt de keten nog niet duurzaam. De cruciale vraag is: welke rol vervult het distributiecentrum in de toekomstige foodketen? En welke energie, ruimte, data en arbeidskrachten zijn daarvoor nodig?","Welke energy, ruimte, data and arbeidskrachten",A.
"Genereer een korte en informatieve titel: Dit document betreft het verslag van een onderzoek naar voormalige Joodse begraafplaatsen in Nederland.Het onderzoek is uitgevoerd met het oog op het voorkomen van verstoring en het beschermen van Joodsfunerair erfgoed. Recente incidenten tijdens graafwerkzaamheden zijn de aanleiding voor dit onderzoek.Tijdens graafwerkzaamheden zijn menselijke resten aangetroffen op locaties van voormaligebegraafplaatsen waarvan werd aangenomen dat zij volledig geruimd waren. Het probleem is dat niet overalin Nederland op dezelfde manier werd en wordt omgegaan met locaties van (voormalige) Joodsebegraafplaatsen. Vanwege de gebrekkige registratie en documentatie van ruimingen, zijn risico???s ontstaanvoor de naleving van de Joodse religieuze wetgeving.De hoofdvraag luidt: ???Welk advies kan worden gegeven aan gemeenten in Nederland waarbinnen degemeentegrens een geruimde of verdwenen Joodse begraafplaats ligt????. Ter beantwoording van deze vraagzijn tien deelvragen geformuleerd, waarin onder meer aandacht is besteed aan de definitie en kenmerkenvan Joodse begraafplaatsen, de historische ontwikkeling van deze begraafplaatsen in Nederland, relevantewet- en regelgeving en de wensen van de orthodoxe en liberale Joodse gemeenschappen.Het onderzoek is uitgevoerd door middel van bureauonderzoek, analyse van historische en archeologischebronnen en interviews met experts, waaronder rabbijnen en archeologen. In totaal zijn twee??ntachtigvoormalige Joodse begraafplaatsen onderzocht. Daarbij is vastgesteld dat niet alle ruimingen volledig ofconform de Joodse religieuze voorschriften zijn uitgevoerd en dat voormalige begraafplaatsen vaakonvoldoende zijn opgenomen in archeologische verwachtingskaarten.Uit het onderzoek blijkt dat de Joodse wet het ruimen van graven in beginsel verbiedt, behoudens enkeleuitzonderingen zoals dreigende ontheiliging of natuurlijke bedreigingen. Orthodoxe Joodsegemeenschappen hechten groot belang aan strikte naleving van deze voorschriften, terwijl binnen liberalegemeenschappen beperkte ruimte bestaat voor individuele wensen, mits binnen de kaders van de traditie.Op basis van de onderzoeksbevindingen zijn aanbevelingen geformuleerd, waaronder het systematischregistreren van voormalige Joodse begraafplaatsen en het raadplegen van archeologen bij ruimingen enherbegravingen. Hiermee wordt beoogd bij te dragen aan de bescherming van Joods funerair erfgoed en hetrespecteren van religieuze en wettelijke vereisten bij toekomstige graafwerkzaamheden en eventueleruimingen.",Joodse begraafplaatsen in Nederland,Aanleiding voor de voormaligebegraafplaatsen
"Genereer een korte en informatieve titel: Smartphones and smartwatches are ever-present in daily life, and provide a rich source of information on their users' behaviour. In particular, digital traces derived from the phone's embedded movement sensors present an opportunity for a forensic investigator to gain insight into a person's physical activities. In this work, we present a machine learning-based approach to translate digital traces into likelihood ratios (LRs) for different types of physical activities. Evaluating on a new dataset, NFI_FARED, which contains digital traces from four different types of iPhones labelled with 19 activities, it was found that our approach could produce useful LR systems to distinguish 167 out of a possible 171 activity pairings. The same approach was extended to analyse likelihoods for multiple activities (or groups of activities) simultaneously and create activity timelines to aid in both the early and latter stages of forensic investigations. The dataset and all code required to replicate the results have also been made public to encourage further research on this topic.",A machine learning-based approach to translate digital traces into likelihood ratios for different types of physical activities,Role-based Learning for Potentially-Wayable Social Networks
"Genereer een korte en informatieve titel: Intensive agriculture relies heavily on synthetic fertilizers, causing resource depletion and environmental issues such as nutrient leaching. Biogas liquid digestate offers a nutrient-rich byproduct from anaerobic digestors as a circular alternative source for plant nutrients in  closed-loop. Within the SIA Fieldlab Circular Fertilizers project, a digeponics (digestate-based hydroponics) nutrient film technique (NFT) crop production system was constructed to test the growth potential of mixed salt-tolerant and conventional crops and to assess nutrition parameters by using liquid digestate as the primary nutrient source.",Biogas liquid digestate: a nutrient-rich byproduct from anaerobic digestors,Incineration in Organic Agricultural Programs
"Genereer een korte en informatieve titel: This thesis introduces a cost-effective methodology for estimating tire contact patch forces and moments at wheel centre using axial force measurements from suspension linkages. The primary aim is to reconstruct these dynamic quantities, eliminating reliance on expensive wheel force transducers (WFTs) typically used in vehicle dynamics testing.A mechanical relationship between the axial forces in suspension members and the resulting at the tire contact patch forces and moments at the wheel centre was first established. Building upon this, a kinematic model was developed to extend applicability to dynamic driving conditions. A MATLAB-based computational framework was then implemented to estimate tire contact patch forces and wheel-centre moments, serving as an intermediate step toward complete contact patch force reconstruction.To validate the model, finite element analysis (FEA) and static testing were conducted. A prototype measurement system, featuring strain gauge-based load cells and a compact data acquisition unit, was integrated into the MORE trailer for dynamic testing. The system was benchmarked against a reference WFT, showing strong correlation in vertical and longitudinal forces. Discrepancies in lateral forces and moments particularly during transient events were observed and could be attributed to assumptions, compliance, and cross-axle interactions.Despite these limitations, the prototype system demonstrated reliable operation, low signal noise, and no sensor saturation. These findings support the feasibility of using suspension-based sensing to estimate forces at tire contact patch and moments at the wheel-centre. With further refinement, this approach offers a scalable and practical solution for tire contact patch force estimation in research.",A cost-effective methodology for estimating tire contact patch forces and moments at wheel centre using axial force measurements from suspension linkages,Autonomous Reinforcement of Wheel Force Transducers: A Comprehensive Analysis of Tire Contact Patch Forces and Moments at Wheel Centre
"Genereer een korte en informatieve titel: Naar een onderzoek van Yvonne Zijlstra, Petra Creemers en Elanor Kamans (2025). Natuurverbondenheid bij Honoursstudenten: ontstaan, kenmerken en praktische toepassingen.","Yvonne Zijlstra, Petra Creemers en Elanor Kamans",De Nierden de kommunizieren de zijn yvonne zaan om Detet koe
"Genereer een korte en informatieve titel: This study aimed to investigate the relationship between water intake and post-race gastrointestinal illness in triathletes. Following a post-event survey approach, we evaluated the association between water intake and gastrointestinal illness in triathletes. We collected data among participants of six different triathlons in the Netherlands using an online questionnaire about personal characteristics (age, sex, swimming experience, chronic illness, and athletic level), the completed triathlon (length and duration), water intake, and illnesses during the 7 days following the triathlon.",Water intake and gastrointestinal illness in triathletes in the Netherlands,Evaluating the connection between water intake and gastrointestinal illness in triathletes
"Genereer een korte en informatieve titel: This paper describes the development of a systemsbased reference model to support teachers in learning about collaborative learning among teachers. By representing collaborative dynamics into a formal model, the project offers a tangible means to support sustained, collective professional growth. The research used a practice-based, designoriented methodology. Insights from the activities informed the development of the reference model and a learning guide which help teachers navigate the modelling process. Despite time constraints limiting deep individual use, participants were able to co-construct and apply the model to their practice in meaningful ways. Findings show the potential of systems thinking to enhance collaborative learning. Future work will refine the model and expand its integration into teacher development pathways.",A Systems Based Reference Model to Support Teachers in Learning about collaborative learning among Teachers,Using a model for co-constructing the model for collaborative learning in teachers
"Genereer een korte en informatieve titel: Zoos play a crucial role in public education and wildlife engagement, yet traditional visits often lack interactive elements that foster meaningful connections between visitors and animals. In this paper, we introduce ZooWear, a head-mounted wearable featuring cartoon-style animal ears that provides haptic feedback patterns simulating an animal’s reactions to other species in the food chain. With ZooWear, we focused on examining its effectiveness in affording perspective-taking during human-animal encounters, promoting embodied knowledge retention, and enriching the zoo experiences. We first conducted a between-subject experiment in lab-based virtual zoo visits to evaluate its effectiveness in creating effective learning experiences and enhancing connections to wildlife. This was followed by a real-world zoo experiment, which showed that ZooWear promoted nature connectedness and enabled more emotionally and socially engaging experiences. Our findings highlight the potential of integrating perspective-taking into zoo experiences through animal-inspired wearables, embodied sensory feedback, and narrative-driven experiences.",ZooWear: a head-mounted wearable featuring cartoon-style animal ears that provides haptic feedback patterns simulating an animal’s reactions,ZooWear: An in-between-subject study for augmented visual perception and augmented visual perception
"Genereer een korte en informatieve titel: Background and aim. Research highlights that poor workspace variety, poor zoning, and limited personalization can reduce comfort, privacy, and focus in hybrid environments. This study aims to anticipate these challenges and to develop and evaluate participatory design interventions for user-centred, efficient workplaces. Methods and data. This study adopted qualitative techniques, and was structured around a case study at an office in the Netherlands. The work environment was studied through needs assessments with interviews. Design interventions were subsequently explored in participatory focus groups, utilizing 3D scale models and 2D visualizations to facilitate collaborative input. Finally, these interventions were evaluated with end-users to determine their effectiveness in enhancing the hybrid work environment, focusing on comfort, functionality, and engagement. Results. The study revealed a lack in workplace diversity which compromised comfort and privacy. Additionally, the absence of clear zoning disrupted focused work and reduced workplace efficiency. There was also a lack of elements that foster personalization, identity, and positive experience, making the work environment less inviting and less inspiring for employees. Originality. By presenting solutions in direct interaction with users, valuable insights for facility management (FM) were gained into the supposed effectiveness of interventions in office design, organizational needs, and individual preferences. Practical implications. The use of 3D scale models and 2D visualizations can help FM to enhance the integration of organizational needs and user experiences, while simultaneously fostering employee engagement and a sense of ownership.","Participatory design interventions for user-centred, efficient workplaces",Design interventions in collaboration with users: A Better Work Environment
"Genereer een korte en informatieve titel: Placemaking Week Europe is an annual festival that brings together 700+ placemakers, urbanists, city officials, and community leaders from across Europe and beyond. Placemaking Week Europe is created in the spirit of collaboration and inspiration and it has proven to be a vital platform to share best practices, foster meaningful collaborations across borders, and to experience the host city’s places, and initiatives firsthand. We provide a friendly environment surrounded by brilliant minds.The themesThis year’s festival will explore 4 overarching themes that correlate with these approaches to placemaking, as well as with the host city’s distinct goals. We aim to bring together knowledge and perspectives from around the world to explore:Designing Cities for All – Valuing diversity in urban designHeritage Reimagined - New life for historic centresPlaces of well-being – Mid-sized cities in today’s worldConnected Journeys – Rethinking mobility across scales","Placemaking Week Europe: Bringing together 700+ placemakers, urbanists, city officials, and community leaders from across Europe and beyond",Placemaking Week Europe: a new movement in placemaking
"Genereer een korte en informatieve titel: This report outlines key findings generated from evidence-based research examining the impact of spatial planning on facility management performance within the Dutch pavilion at the World Expo Osaka 2025. It addresses the recurring neglect of facility management considerations in design and construction processes and highlights the importance of integrating operational needs early in pavilion planning. Through application of relevant theoretical frameworks, it provides an employee-oriented perspective on functional comfort to support job performance.The research was conducted to support the operational needs of Van Der Linde Catering, the hospitality company responsible for facility management at the Dutch Pavilion and the commissioning party for this study. The study was motivationed by the rising concern of poor alignment between design and back-of-house operations, leading to operational challenges.The case study involved a 10-week on-site data collection, preceded by preliminary interviews and assessment of organizational documents including architectural drawings, construction and planning procedures. On-site observations, surveys, and personal interviews identified employee movement, space utilization, space requirements, and operational bottlenecks.This study aims to contribute to future World Expo pavilion planning by formulating evidence-based spatial considerations to support facility management performance to guiding future design processes, designers, and organizers. By applying these considerations to the Dutch Pavilion at Osaka 2025, the study demonstrates how a facility management–involved design can improve operations and mitigate spatial and organizational challenges.",Impact of spatial planning on facility management performance within the Dutch pavilion at the World Expo Osaka 2025,Impact of spatial planning on facilities management performance in the Dutch pavilion at the World Expo Osaka 2025
